date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:05	219/219	---M--	200	added ('OK')	text/plain	date:Tue,%2003%20Dec%202019%2005:28:41%20GMT	https://datrics.themetags.com/robots.txt		(from )
16:44:05	60498/60498	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Mar%202020%2013:07:28%20GMT	https://datrics.themetags.com/	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/index.html	(from )
16:44:06	906/906	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Mar%202020%2010:17:45%20GMT	https://datrics.themetags.com/img/favicon.png	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/img/favicon.png	(from https://datrics.themetags.com/)
16:44:08	155764/155764	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2007:50:15%20GMT	https://datrics.themetags.com/css/bootstrap.min.css	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/css/bootstrap.min.css	(from https://datrics.themetags.com/)
16:44:09	7698/7698	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2007:50:15%20GMT	https://datrics.themetags.com/css/magnific-popup.css	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/css/magnific-popup.css	(from https://datrics.themetags.com/)
16:44:11	17531/17531	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2007:50:15%20GMT	https://datrics.themetags.com/css/themify-icons.css	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/css/themify-icons.css	(from https://datrics.themetags.com/)
16:44:12	57184/57184	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2007:50:15%20GMT	https://datrics.themetags.com/css/all.min.css	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/css/all.min.css	(from https://datrics.themetags.com/)
16:44:13	58139/58139	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2007:50:15%20GMT	https://datrics.themetags.com/css/animate.min.css	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/css/animate.min.css	(from https://datrics.themetags.com/)
16:44:14	9177/9177	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2007:50:15%20GMT	https://datrics.themetags.com/css/jquery.mb.YTPlayer.min.css	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/css/jquery.mb.YTPlayer.min.css	(from https://datrics.themetags.com/)
16:44:16	3356/3356	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2007:50:15%20GMT	https://datrics.themetags.com/css/owl.carousel.min.css	C:/My%20Web%20Sites/Datrics%20-%20Data%20Science%20and%20Big%20Data%20Analytics%20HTML%20Template/datrics.themetags.com/css/owl.carousel.min.css	(from https://datrics.themetags.com/)
